ri_item_id,count
68593b2b-00e4-4a90-a74f-ddf6840d32d8,3
404aae9f-905f-41de-b938-a7dccf013d9d,4
9b8ec594-a9e9-4b43-a13a-d8e0b0c54866,0
e5d6a8df-9def-4c88-897f-202a927663ef,0
9c24f067-9552-45c2-9137-512263651b79,0
537b3f73-c543-4b69-bc4e-5790ef54b6c3,0
d60e022f-e32a-4d66-8178-0e7d91361c95,0
b72a23b8-5767-48a1-8fc8-6abafe23e69a,3
0dc68957-c82c-4b1c-9c8a-c53c165cd705,0
4aef701f-bf08-4f66-b38b-594a9c8c15cf,9
1d5d1a32-4afa-44fd-96e0-c99bd72119a8,0
afe78be3-41d2-4869-acca-beeac57a213b,0
2ec4827d-2ca8-4256-b166-3351ae38e63a,0
3ac4dc21-10be-4424-805b-5b40a571d5ed,0
0e5294b8-8eb8-4ee5-9309-95fe5a426e76,0
21c72c11-13fd-44f5-b285-daf8e1d8eae8,0
d578e0f9-49a5-47c2-bf22-2c132b715c43,0
5f5465f3-5313-4f28-a24a-34a259a0622f,0
1ce8d434-88b4-4321-af8a-37244a6e5048,0
ffd89bde-9abc-4dfd-a9d4-e8c3acce6d84,0
